"yyyy","mm","day","HH","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2017,5,3,21,30,3.3,0.2,0.05,1.71953614,5.200861239,0.296310647800581,0.0562,208.0289388
2017,5,3,22,0,3.3,0.2,0.05,1.227660649,4.323161714,0.494352054714047,0.069,222.3716996
2017,5,3,22,30,3.3,0.2,0.05,1.545754328,0.315538034,0.433997297226607,0.0275,222.0231473
2017,5,3,23,0,3.3,0.2,0.05,1.684100811,12.05176635,0.404072243540682,0.045,236.1293946
2017,5,3,23,30,3.3,0.2,0.05,0.657641532,26.85648907,0.205426385841741,0.0755,155.5947077
2017,5,4,0,0,3.3,0.2,0.05,0.380643949,14.44820426,0.423363988785064,0.0302,216.1887647
2017,5,4,0,30,3.3,0.2,0.05,1.738410253,11.19893615,0.459999526086712,0.0989,139.5356218
2017,5,4,1,0,3.3,0.2,0.05,1.679989751,2.878715964,0.589337528925488,0.0878,76.4744913
2017,5,4,1,30,3.3,0.2,0.05,0.719921174,-178.8039861,0.578767440341974,0.0885,75.7385663
2017,5,4,2,0,3.3,0.2,0.05,1.989579602,53.22509311,0.641297296891231,0.161137941,15.79798725
2017,5,4,2,30,3.3,0.2,0.05,0.68990352,2.226371419,0.789884818185538,0.0696,5.208654923
2017,5,4,3,0,3.3,0.2,0.05,1.915056838,5.583556544,0.662519794421269,0.0908,10.80859736
2017,5,4,3,30,3.3,0.2,0.05,1.923115067,23.03991672,0.984742486643082,0.15141475,34.50751832
2017,5,4,4,0,3.3,0.2,0.05,0.705492287,74.3546217,0.905853159181995,0.247630349,10.82497857
2017,5,4,4,30,3.3,0.2,0.05,1.947025529,4.967766666,0.707660677161025,0.104838486,26.95249371
2017,5,4,5,0,3.3,0.2,0.05,0.864657866,51.45249333,0.78759999174708,0.152454846,42.43997692
2017,5,4,5,30,3.3,0.2,0.05,1.450236282,6.984485158,1.05244631026955,0.118075937,32.17837564
2017,5,4,6,0,3.3,0.2,0.05,1.372068684,12.56334199,0.864505187375993,0.131395612,39.07419607
2017,5,4,6,30,3.3,0.2,0.05,0.920408239,8.193549017,0.690521151015666,0.111968911,17.33364652
2017,5,4,7,0,3.3,0.2,0.05,0.824545022,32.79210847,0.690422291065403,0.147729842,320.8131336
2017,5,4,7,30,3.3,0.2,0.05,0.823122139,-78.61525799,0.478663697182061,0.121849435,320.6669123
2017,5,4,8,0,3.3,0.2,0.05,1.47859046,-0.64996426,0.312089730686545,0.0657,355.0877038
2017,5,4,8,30,3.3,0.2,0.05,2.084285148,-10.92416356,0.527077768455472,0.179438781,355.1315119
2017,5,4,9,0,3.3,0.2,0.05,0.282477208,-1772.461867,1.16907133315294,0.519155842,214.0480899
2017,5,4,9,30,3.3,0.2,0.05,3.589847753,-43.30658028,0.932575905221661,0.292492162,165.5488126
2017,5,4,10,0,3.3,0.2,0.05,3.941986936,-58.31550659,0.927591940456578,0.330760738,164.3917941
2017,5,4,10,30,3.3,0.2,0.05,4.205253197,-50.86081026,1.11620477332791,0.371831875,162.7982688
2017,5,4,11,0,3.3,0.2,0.05,3.983534875,-33.35653974,1.14199502144274,0.290342382,170.0449094
2017,5,4,11,30,3.3,0.2,0.05,3.270474716,-19.91138769,1.16383573239526,0.277131648,171.2024967
2017,5,4,12,0,3.3,0.2,0.05,3.755342744,-23.09112588,1.63880382566066,0.32002383,155.1746782
2017,5,4,12,30,3.3,0.2,0.05,4.589129691,-30.64327529,1.04244117579842,0.37360334,168.5584409
2017,5,4,13,0,3.3,0.2,0.05,5.178661373,-44.28011137,1.01160095541671,0.431523479,157.6917183
2017,5,4,13,30,3.3,0.2,0.05,4.783005961,-35.5591118,1.26775268053355,0.437008589,161.754778
2017,5,4,14,0,3.3,0.2,0.05,4.697658796,-27.58500268,1.49039767042223,0.384746596,163.1157785
2017,5,4,14,30,3.3,0.2,0.05,4.359832507,-32.56306763,1.10005530179169,0.375807619,167.83575
2017,5,4,15,0,3.3,0.2,0.05,3.123620227,-17.51555961,1.73202136447562,0.292067916,169.5176622
2017,5,4,15,30,3.3,0.2,0.05,2.490783583,-4.013939242,1.93538839306223,0.212415836,188.8486622
2017,5,4,16,0,3.3,0.2,0.05,2.78864784,-17.86757533,1.52159609785251,0.29494836,197.1361014
2017,5,4,16,30,3.3,0.2,0.05,3.342744822,-21.15743607,0.953864638195588,0.220854537,194.8373441
2017,5,4,17,0,3.3,0.2,0.05,6.310821421,-6788.185171,1.53939620371105,0.349562437,227.8662665
2017,5,4,17,30,3.3,0.2,0.05,7.129771249,-184.0601752,1.0072466391108,0.466255246,243.7353014
2017,5,4,18,0,3.3,0.2,0.05,5.59808763,-53.96647772,0.875805156984132,0.360490792,242.6102407
2017,5,4,18,30,3.3,0.2,0.05,3.4962601,-41.11011709,0.622471968043542,0.253419626,244.4320251
2017,5,4,19,0,3.3,0.2,0.05,1.539767772,-3.243283976,0.569445084270643,0.0791,225.9898305
2017,5,4,19,30,3.3,0.2,0.05,1.096692017,-45.84647323,0.893035749564372,0.121975091,145.8191591
2017,5,4,20,0,3.3,0.2,0.05,2.59829922,-153.6081471,0.395754024616301,0.187032353,118.1306755
2017,5,4,20,30,3.3,0.2,0.05,2.66606683,42.64542093,0.893938081189072,0.197493288,66.00025599
2017,5,4,21,0,3.3,0.2,0.05,0.687520046,32.67495516,0.635562200732548,0.165816187,46.74856016
2017,5,4,21,30,3.3,0.2,0.05,1.799919537,12.36706141,0.724850127957497,0.0894,236.7692857
2017,5,4,22,0,3.3,0.2,0.05,2.290681147,11.69158364,0.308220700148449,0.110490795,243.3804573
2017,5,4,22,30,3.3,0.2,0.05,2.750045827,20.85750886,0.510587886656156,0.129088153,224.0568776
2017,5,4,23,0,3.3,0.2,0.05,3.578232584,61.32563284,0.541418661481113,0.219866533,226.3730378
2017,5,4,23,30,3.3,0.2,0.05,2.920151673,25.89688359,0.389007017931554,0.136354853,238.3431185
2017,5,5,0,0,3.3,0.2,0.05,1.89004739,10.08633292,0.497081923831475,0.0955,267.8778816
2017,5,5,0,30,3.3,0.2,0.05,1.720492853,12.0580604,0.323342366540483,0.0796,263.7211116
2017,5,5,1,0,3.3,0.2,0.05,1.370542945,-29.64352299,0.630949265789255,0.0721,210.6614352
2017,5,5,1,30,3.3,0.2,0.05,1.47465761,0.85396498,0.27367864366808,0.0455,174.5960104
2017,5,5,2,0,3.3,0.2,0.05,1.168470132,34.19784497,0.532371302757765,0.0991,154.0416533
2017,5,5,2,30,3.3,0.2,0.05,1.16869421,9.187155445,0.652554363252595,0.0954,122.3654918
2017,5,5,3,0,3.3,0.2,0.05,1.339133011,3.080816856,0.482478417133865,0.0436,1.195347223
2017,5,5,3,30,3.3,0.2,0.05,0.62840992,28.48861699,0.317394982632051,0.111428579,251.6288113
